,Cohort,Folios,Lines,Tokens,Unique Tokens,Glyphs,Unique Glyphs
0,ALL,95,1223,7660,2355,36177,67
1,MIDDLE,95,1002,3807,1115,17436,39
2,TOP,95,178,847,506,4267,29
3,FIRST,95,998,998,532,5118,25
4,LAST,95,777,777,427,3470,26
5,BEFORE,71,330,349,215,1481,20
6,AFTER,63,264,278,160,1295,19
7,SECOND,95,970,970,433,4517,22
8,FOURTH,95,691,691,339,3236,23
9,RAND 1,~,~,970,444,~,~
10,RAND 2,~,~,970,435,~,~
11,RAND 3,~,~,970,441,~,~
12,RAND 4,~,~,349,197,~,~
13,RAND 5,~,~,349,221,~,~
14,RAND 6,~,~,349,209,~,~
