,Cohort,Mean,Std,Min,Max,Num_Obs
0,ALL,4.722845953002611,1.7925215242534245,1,13,7660
1,MIDDLE,4.579984239558708,1.6943636223839298,1,12,3807
2,TOP,5.037780401416765,1.8125858778351298,1,11,847
3,FIRST,5.128256513026052,1.7537772480004048,1,11,998
4,LAST,4.465894465894466,1.912953272585817,1,13,777
5,BEFORE,4.243553008595988,1.9567662305449207,1,9,349
6,AFTER,4.658273381294964,1.6254893797942263,1,9,278
7,SECOND,4.656701030927835,1.6536998329266461,1,10,970
8,FOURTH,4.683068017366136,1.7171948551291947,1,12,691
